"ID","Vendor","IAB ID","Logo","Description","CompanyName","CompanyAddr1","CompanyAddr2","CompanyZip","CompanyCC","PrivacyURL","Purposes","LegalBasis","Google ID"
"s23","consentmanager","0","/delivery/icons/icons_v23.png","consentmanager offers services to obtain the consent of your website visitors and to make this information available to your advertisers and other partners.","consentmanager AB","Håltegelvägen 1b","","72348 Västerås","SE","https://www.consentmanager.net/en/privacy/","Function","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
"s1","Google Ads","0","/delivery/icons/icons_v1.png","Google Ads is an online advertising platform that developes by Google.","Google Ireland Ltd","Gordon House, Barrow Street","","Dublin 4","IE","https://business.safety.google/privacy/","Marketing","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
"s1498","Google Advertising Products","755","/delivery/icons/icons_v1498.png","Google Advertising Products is an advertising service provided by Google Ireland Ltd that allows the Owner to manage and plan advertising campaigns. This includes designing the ads, displaying them to the right targeted audience, bidding through automated decision-making tools (called ""automated bidding"") and measuring the campaign's performance.  \r\nUsers may decide to disable the ad personalization Trackers by going to: <a target=""_blank"" rel=""noreferrer nofollow noopener"" href=""https://adssettings.google.com/authenticated?hl=en"">Google Ad Settings</a>.  \r\n\r\nIn order to understand Google's use of Data, consult [Google's partner policy](https://policies.google.com/technologies/partner-sites).  ","Google Ireland Ltd","Gordon House, Barrow Street","","Dublin 4","IE","https://business.safety.google/privacy/","","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
"s26","Google Analytics","0","/delivery/icons/icons_v26.png","Google Analytics is a web analysis service provided by Google Ireland Ltd (“Google”). Google utilizes the Data collected to track and examine the use of this website/app, to prepare reports on its activities and share them with other Google services.  \r\nGoogle may use the Data collected to contextualize and personalize the ads of its own advertising network.","Google Ireland Ltd","Gordon House, Barrow Street","","Dublin 4","IE","https://business.safety.google/privacy/","Measurement","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
"s135","Google General","0","/delivery/icons/icons_v135.png","Google Ireland specializes in providing computer program services.","Google Ireland Ltd","Gordon House, Barrow Street","","Dublin 4","IE","https://business.safety.google/privacy/","Other","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
"s905","Google Tag Manager","0","/delivery/icons/icons_v905.png","Google Tag Manager delivers simple, reliable, easily integrated tag management solutions.","Google Ireland Ltd","Gordon House, Barrow Street","","Dublin 4","IE","https://business.safety.google/privacy/","Function","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
"c86928","opscrunch.com","0","/1x1.gif","","","","","","","","Function","0 (GDPR), 0 (GDPRUK), 0 (DSGLPD), 0 (CCPA), 0 (USCPA), 0 (USCAPDP), 0 (USFDBR), 0 (USDPDPA), 0 (USICDPA), 0 (USMTCDPA), 0 (USNEDPA), 0 (USNHPA), 0 (USNJDPA), 0 (USOCDPA), 0 (USTIPA), 0 (USMCDPA), 0 (USTDPSA), 0 (USUCPA), 0 (USVCDPA), 0 (USRIDTPPA), 0 (USINCDPA), 0 (USKYACDP), 0 (USMDODPA), 0 (USWADA), 0 (PIPEDA), 0 (LGPD), 0 (LFPDPPP), 0 (PDPA), 0 (NDPR), 0 (POPIA), 0 (PIPA), 0 (PDPL), 0 (PPA), 0 (RPDL), 0 (PIPL), 0 (APPI), 0 (PDPAT), 0 (DPDPA), 0 (PDPLSA), 0 (ROW)"",""0"
